Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1692310798.1011903,0.1613305548744899,0.04767632310634201,0.0034517568792473193,0.0,0.0,0.0
1692310798.2230837,0.16115193600380748,0.04775939475209068,0.0035553995792567787,0.0,0.0,0.0
1692310798.3642862,0.16082133099639562,0.04781572998067458,0.0035957965499365647,0.0,0.0,0.0
1692310798.5579855,0.1597322322595866,0.0478120572609324,0.003575088850403409,0.0,0.0,0.0
1692310798.7978566,0.15873617681158506,0.04776111515001848,0.0035276084532199162,0.0,0.0,0.0
1692310798.9876044,0.15676821165416954,0.047623178233856,0.0034382885522043637,0.0,0.0,0.0
1692310799.1102595,0.15457146620159196,0.04740185408766721,0.00330010117122746,0.0,0.0,0.0
1692310799.2368026,0.15373925623897797,0.04717883815696559,0.0031262116767488777,0.0,0.0,0.0
1692310799.36817,0.15354600269701754,0.04698407296980271,0.0029668077320998765,0.0,0.0,0.0
1692310799.5146737,0.15192068927318966,0.04674108645514467,0.0028174466072059864,0.0,0.0,0.0
1692310799.6407244,0.1497982143338855,0.04643155405899324,0.0027073940359617697,0.0,0.0,0.0
1692310799.7528212,0.14925829395353696,0.04614647856069511,0.002618889724096095,0.0,0.0,0.0
1692310799.8674808,0.14770640308562002,0.04582537254252919,0.0026482920113469702,0.0,0.0,0.0
1692310799.9801085,0.1469269906391735,0.045518218122524025,0.0026813029633849183,0.0,0.0,0.0
1692310800.1023946,0.14649361377818607,0.04522933650656967,0.0028586313255344062,0.0,0.0,0.0
1692310800.2204366,0.14654600803085704,0.04498968256749001,0.0030253643415130028,0.0,0.0,0.0
1692310800.3407128,0.14579986515505683,0.04475209866505399,0.00316903557329551,0.0,0.0,0.0
1692310800.4513173,0.146357253408087,0.04457375068976236,0.003377928342701288,0.0,0.0,0.0
1692310800.5700278,0.1471265292364583,0.04446656570774481,0.003525191550157825,0.0,0.0,0.0
1692310800.6907248,0.14731687721270767,0.044375896751164844,0.0037532092976625634,0.0,0.0,0.0
1692310800.7975962,0.14661599222615074,0.04427103297407033,0.0038876494234631586,0.0,0.0,0.0
1692310800.9186988,0.146710861094971,0.04418401229402817,0.004041206020113385,0.0,0.0,0.0
1692310801.0321193,0.14772449363776902,0.044159536207848855,0.00419681069338267,0.0,0.0,0.0
1692310801.1464524,0.14856341046269322,0.04418103874193387,0.004330021747987387,0.0,0.0,0.0
1692310801.2568798,0.14846801693657716,0.04420311885233306,0.0043571660676784175,0.0,0.0,0.0
1692310801.371426,0.14814517625068557,0.04420730437987969,0.004359317335438783,0.0,0.0,0.0
1692310801.4935236,0.14689390813520187,0.04415362721857205,0.004299999561246988,0.0,0.0,0.0
1692310801.608806,0.14812047274221551,0.04417176421992251,0.004237797677074099,0.0,0.0,0.0
1692310801.7140224,0.15002041612711747,0.04428397573406455,0.004168077684718053,0.0,0.0,0.0
1692310801.8172379,0.15082165531996708,0.044420997132827336,0.004070252454935948,0.0,0.0,0.0
1692310801.9369702,0.15195466793400464,0.04459154418138951,0.003995489201264326,0.0,0.0,0.0
1692310802.039841,0.1517087254737351,0.04471881015918274,0.003963015831522663,0.0,0.0,0.0
1692310802.184113,0.1515677498091568,0.044817077553231686,0.003943755265680718,0.0,0.0,0.0
1692310802.3259513,0.15312093753661699,0.04497324400792387,0.003971223079893455,0.0,0.0,0.0
1692310802.4464426,0.153012986735305,0.045091953623741854,0.0040573454057772785,0.0,0.0,0.0
1692310802.629625,0.15310801445278868,0.045193266399222595,0.004152713153363305,0.0,0.0,0.0
1692310802.7506092,0.15279399961836612,0.045254934871982844,0.004297470823763717,0.0,0.0,0.0
1692310802.8932006,0.1525043259262512,0.04529244744033773,0.004411291829312369,0.0,0.0,0.0
1692310802.9766521,0.1525727692713849,0.04533560183909558,0.004424804563664182,0.0,0.0,0.0
1692310803.0634992,0.15235233784299992,0.04536412850839793,0.004397855397841565,0.0,0.0,0.0
1692310803.163422,0.15246409163929153,0.045394343762105785,0.004366493616244132,0.0,0.0,0.0
1692310803.2538762,0.15230138380556418,0.04541592770031452,0.004288736669099843,0.0,0.0,0.0
1692310803.3463058,0.15246723901313597,0.045446836145843446,0.004167922591320828,0.0,0.0,0.0
1692310803.4316146,0.15234576179664117,0.04546825152169918,0.004044171267530535,0.0,0.0,0.0
1692310803.5149112,0.15194565239728686,0.045469916222195345,0.003886355668733966,0.0,0.0,0.0
1692310803.6046484,0.15161236126762473,0.045454643669283215,0.0037537600105270923,0.0,0.0,0.0
1692310803.693899,0.15015516504764495,0.04537388699678036,0.0035621859699109947,0.0,0.0,0.0
1692310803.7834167,0.1491495653075364,0.04525783821494383,0.0033726582344310273,0.0,0.0,0.0
1692310803.8876488,0.14871404161781104,0.045139079148699614,0.0032191339883879087,0.0,0.0,0.0
