Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1692309414.647494,-0.008700448843823396,0.04662790430013326,-0.0005393543919129855,0.047889881812636204,0.0,0.0
1692309414.7523246,-0.009129332177440644,0.0465125187403303,-0.0005477302465371398,0.047310155061291465,0.0,0.0
1692309414.8529997,-0.010086949813568055,0.04623491106761417,-0.0005337340143009631,0.046365639099808134,0.0,0.0
1692309414.9528105,-0.010122615607307634,0.045991790854589855,-0.0005030291748167377,0.04629886055978005,0.0,0.0
1692309415.0509067,-0.0103135076594949,0.045746513419183135,-0.00038807473372654585,0.04607047552908819,0.0,0.0
1692309415.15225,-0.011154998627730754,0.045391359805029695,-0.00028508003310995185,0.045293694191371955,0.0,0.0
1692309415.2530744,-0.012559990194004614,0.04486263229459025,-0.00014604667642551347,0.04411287408946112,0.0,0.0
1692309415.3503299,-0.01429046339382544,0.04415336066247636,-3.0392023555191695e-05,0.04276274276704526,0.0,0.0
1692309415.4487717,-0.014225427639479222,0.04360390992582602,0.00014702485798190513,0.04301007973546521,0.0,0.0
1692309415.549247,-0.014947284732893619,0.043036789917533486,0.0002863121218569267,0.042462041909455864,0.0,0.0
1692309415.6492946,-0.016294144250154255,0.04234937346314543,0.00044305416955535675,0.04138391511043499,0.0,0.0
1692309415.7528772,-0.017939827990668577,0.04152393098725061,0.0005596714051074172,0.0401149870597084,0.0,0.0
1692309415.8499968,-0.020028703968404837,0.04052201227323218,0.0006276336314519411,0.038541872059780935,0.0,0.0
1692309415.949252,-0.019695182807510172,0.0397841429804959,0.0007165127836970921,0.03907653612727472,0.0,0.0
1692309416.0516713,-0.020065450911434798,0.039114853630043946,0.0007962179578312641,0.038806151622047244,0.0,0.0
1692309416.1496685,-0.021045095512448753,0.03839165654606138,0.0008393785752747714,0.03795708159873897,0.0,0.0
1692309416.2489123,-0.022478135319609925,0.037550775308488056,0.0008846151760233824,0.036746631969542365,0.0,0.0
1692309416.3494883,-0.02425797921705944,0.03656533023298452,0.0008958783889088171,0.0353029196703306,0.0,0.0
1692309416.449876,-0.026165534511339357,0.035449167086383626,0.000905856555220271,0.03382182550660834,0.0,0.0
1692309416.5471902,-0.028520427160798202,0.034160398474711175,0.0008749479990751744,0.03201941901231888,0.0,0.0
1692309416.651059,-0.03089836550584106,0.03273604884490286,0.0008266695464062626,0.030272808170380264,0.0,0.0
1692309416.7464178,-0.028825146645323617,0.03193729541140066,0.0007998602345759244,0.0322848021680972,0.0,0.0
1692309416.848586,-0.027518157525199052,0.03145551525770762,0.000774328026349178,0.033187310823579036,0.0,0.0
1692309416.9465141,-0.027075167627734157,0.031057724438785288,0.0007547758396562467,0.03314223753158656,0.0,0.0
1692309417.0482166,-0.02728197734748121,0.030614339496063604,0.0007309055611730554,0.03250161062523633,0.0,0.0
1692309417.1499536,-0.02794158103799585,0.030064611260639206,0.0007093508833668386,0.03152041834306404,0.0,0.0
1692309417.2442403,-0.029025378982151497,0.02936892342323382,0.0006900085193769693,0.030259422785578888,0.0,0.0
1692309417.3517985,-0.030395961853478877,0.0285204284936465,0.0006613440266030847,0.028853040665409016,0.0,0.0
1692309417.4515185,-0.03187051104448883,0.02754256128289049,0.0006276106425752705,0.02745016716671736,0.0,0.0
1692309417.5452282,-0.03381023032747237,0.026391428520966438,0.000591058951827717,0.025725130178044793,0.0,0.0
1692309417.6484344,-0.0358983904308824,0.02508634650882622,0.0005527355989689554,0.023964843313537196,0.0,0.0
1692309417.7453651,-0.03809282598003133,0.02364687035821555,0.0005052033984442798,0.022182835292723045,0.0,0.0
1692309417.8458958,-0.040419292470452145,0.022081443546178067,0.000455260271448957,0.020337439543644458,0.0,0.0
1692309417.9499576,-0.04276278653766403,0.02041412934458898,0.00040795746992807857,0.01851316696122161,0.0,0.0
1692309418.0486495,-0.045041744035580436,0.01867500404134309,0.000357403057262832,0.01675702068706559,0.0,0.0
1692309418.1479235,-0.04722327844445344,0.01689046928458148,0.00031156929038789454,0.015073089549980413,0.0,0.0
1692309418.245249,-0.04935746814342858,0.01507116103379034,0.0002699777984181269,0.013400354023320125,0.0,0.0
1692309418.3493679,-0.04145689446819861,0.014867603626228292,0.00024282430227267753,0.020071204775772483,0.0,0.0
